Data,Acompanhamentos,Prato Principal,Guarnição,Salada,Sobremesa,Refresco,Extra,Nota Técnica
2014-02-13,ARROZ E FEIJÃO,BIFE ACEBOLADO,"CAPONATA DE BERINJELA(berinjela,pimentões,cebola",RÚCULA/CHUCHU NA SALSA,MELÃO,MANGA,PÃO E CAFÉ,
2014-02-14,ARROZ E FEIJÃO,LASANHA,VAGEM COM CENOURA SAUTÊ,REPOLHO BICOLOR/GRÃO DE BICO VINAGRETE,SAGÚ,LARANJA,PÃO E CAFÉ,
2014-02-17,ARROZ E FEIJÃO,STROGONOFF DE CARNE,BATATA PALHA,ALMEIRÃO/CENOURA RALADA,DOCE DE ABÓBORA,MARACUJÁ,PÃO E CAFÉ,
2014-02-19,ARROZ E FEIJÃO,LINGUIÇA TOSCANA ASSADA,QUIBEBE,AGRIÃO/FEIJÃO BANCO TEMPERADO,PUDIM DE MORANGO,ABACAXI,PÃO E CAFÉ,
2014-02-20,ARROZ E FEIJÃO,CARNE ASSADA AO MOLHO MADEIRA,RISOTO A JARDINEIRA,MIX DE FOLHAS/ABÓBRINHA ASSADA,BANANA,UVA,PÃO E CAFÉ,
2014-02-21,ARROZ E FEIJÃO,COPA LOMBO AO VINAGRETE,REPOLHO REFOGADO COM BACON,ACELGA/PEPINO,BARRINHA DE CEREAL,TANGERINA,PÃO E CAFÉ,
2014-02-24,ARROZ E FEIJÃO,ALMÔNDEGAS AO SUGO,POLENTA CREMOSA COM QUEIJO,ESCAROLA LENTILHA TEMPERADA,MAÇÃ,CAJÚ,PÃO E CAFÉ,
2014-02-25,ARROZ E FEIJÃO,"BIFE A GIRARDELI(TOMATE,MOLHO,ALHO,E PRESUNTO EM C",ABÓBRINHA REFOGADA,CHICÓRIA/COUVE FLOR,GELATINA DE LIMÃO,MANGA,PÃO E CAFÉ,
2014-02-26,ARROZ E FEIJÃO,"PICADINHO A PROVENÇAL(ACÉM,CEBOLA,PIMENTÃO E TO","FAROFA RICA(OVOS,MILHO ERVILHA E AZEITONA)",ALFACE/TOMATE,SALADA DE FRUTA,MANGA,PÃO E CAFÉ,
2014-02-27,ARROZ E FEIJÃO,COXA DE FRANGO CROCANTE,MACARRÃO AO SUGO,RÚCULA/CHUCHU NA SALSA,CURAU,MARACUJÁ,PÃO E CAFÉ,
2014-02-28,ARROZ E FEIJÃO,FILÉ DE FRANGO ACEBOLADO,CENOURA SAUTÊ,REPOLHO BICOLOR/BETERRABA RALADA,LARANJA,LIMÃO,PÃO E CAFÉ,
2014-03-03,ARROZ E FEIJÃO,LAGARTO AO MOLHO ROTY,BATATAS CORADAS,COUVE MANTEIGA/PEPINO COM HORTELÃ,IOGURTE,MANGA,PÃO E CAFÉ,
2014-03-05,ARROZ E FEIJÃO,CARNE DE PANELACOM LEGUMES,CREME DE MILHO,RUCULA/TABULE,MELANCIA,MARACUJÁ,PÃO E CAFÉ,
2014-03-06,ARROZ E FEIJÃO,COXA DE FRANGO A FIRELOY,MACARRÃO ALHO E OLEO,ESCAROLA/TOMATE,GELATINA DE LIMÃO,CAJÚ,PÃO E CAFÉ,
2014-03-07,ARROZ E FEIJÃO,KIBE ASSADO,"FRANDOLA(CENOURA,VAGEM.ERVILHA E MANDIOQUINHA)",ALFACE/CENOURA RALADA,BANANA,ABACAXI,PÃO E CAFÉ,
2014-03-10,ARROZ E FEIJÃO,SALSICHA AO POMODORO,PURÊ MISTO,AGRIÃO/FEIJÃO BRANCO COM AZEITONAS,BARRINHA DE CEREAL,UVA,PÃO E CAFÉ,
2014-03-11,ARROZ E FEIJÃO,LAGARTO AO MOLHO MADEIRA,FAROFA DE BANANA,ACELGA/TOMATE,MAMÃO,TANGERINA,PÃO E CAFÉ,
