Data,Acompanhamentos,Prato Principal,Guarnição,Salada,Sobremesa,Refresco,Extra,Nota Técnica
2016-09-20,ARROZ E FEIJÃO,QUIBE ASSADO,NHOQUE AO SUGO,ESCAROLA/VINAGRETE,IOGURTE,UVA,PÃO E CAFÉ,
2016-09-21,ARROZ E FEIJÃO,CARNE EM CUBOS COM BATATA DOCE,---,REPOLHO,TANGERINA MURCOTT,ABACAXI,PÃO E CAFÉ,
2016-09-22,ARROZ E FEIJÃO,FRANGO ASSADO,FAROFA,RÚCULA,MELANCIA,LARANJA,PÃO E CAFÉ,
2016-09-23,ARROZ E FEIJÃO,BIFE,---,ALFACE COM NABO,BANANADA,MARACUJÁ,PÃO E CAFÉ,
2016-09-26,ARROZ E FEIJÃO,PEIXE ASSADO COM MOLHO,CENOURA REFOGADA,ESCAROLA COM BETERRABA/OVO COM SALSA,MAÇÃ,MANGA,PÃO E CAFÉ,
2016-09-27,ARROZ E FEIJÃO,NUGGETS,CREME DE MILHO,ESCAROLA/VINAGRETE,LARANJA,ABACAXI,PÃO E CAFÉ,
2016-09-28,ARROZ E FEIJÃO,CARNE EM CUBOS COM BATATA,ESCAROLA REFOGADA,ALFACE,MAÇÃ,TANGERINA,PÃO E CAFÉ,
2016-09-29,ARROZ E FEIJÃO,BIFE ACEBOLADO,MACARRÃO,BATATA COM MOSTARDA/BATATA COM SALSA,TANGERINA MURCOT OU CURAU,LIMÃO,PÃO E CAFÉ,
2016-09-30,ARROZ E FEIJÃO,CARNE DESFIADA COM VINAGRETE QUENTE,ACELGA REFOGADA,CENOURA COM VINAGRETE,TANGERINA MURCOT,MANGA,PÃO E CAFÉ,
2016-10-03,ARROZ E FEIJÃO,LINGUIÇA DE FRANGO ACEBOLADA,BATATA REFOGADA,PEPINO/CENOURA/BETERRABA,BANANA,manga,PÃO E CAFÉ,
2016-10-04,ARROZ E FEIJÃO,NUGGETS ASSADO,MACARRÃO COM ERVAS,COUVE COM MAÇÃ,BANANA,TANGERINA,PÃO E CAFÉ,
2016-10-05,ARROZ E FEIJÃO,BIFE ASSADO AO MOLHO DE PALMITO,--------,ALFACE COM AGRIÃO,PUDIM DE CHOCOLATE,MARACUJÁ,PÃO E CAFÉ,
2016-10-06,ARROZ E FEIJÃO,CARNE EM CUBOS COM VAGEM,--------,REPOLHO / ALFACE/ RÚCULA,MAÇÃ,MANGA,PÃO E CAFÉ,
2016-10-07,ARROZ E FEIJÃO,FRANGO ASSADO,CHUCHU REFOGADO,ACELGA COM ABACAXI,LARANJA,CAJÚ,PÃO E CAFÉ,
2016-10-10,ARROZ E FEIJÃO,CARNE EM CUBOS COM CENOURA E AZEITONA,---,BETERRABA RALADA,MELANCIA,MARACUJÁ,PÃO E CAFÉ,
2016-10-11,ARROZ E FEIJÃO,FRANGO AO MOLHO BRANCO,BATATA PALHA,ALFACE E TOMATE,MAÇÃ,TANGERINA,PÃO E CAFÉ,
2016-10-13,ARROZ E FEIJÃO,BIFE ACEBOLADO,BATATA SAUTÊ,PEPINO/RÚCULA,MAÇÃ,MANGA,PÃO E CAFÉ,
2016-10-14,ARROZ E FEIJÃO,STEAK,ACELGA E COUVE REFOGADA,ALFACE COM VINAGRETE,LARANJA,TANGERINA,PÃO E CAFÉ,
2016-10-17,ARROZ E FEIJÃO,OMELETE DE FORNO,VAGEM REFOGADA,ACELGA COM VINAGRETE,BANANA,MANGA,PÃO E CAFÉ,
2016-10-18,ARROZ E FEIJÃO,BIFE AO MOLHO DE PALMITO,----,ACELGA COM ABACAXI,MELANCIA,CAJÚ,PÃO E CAFÉ,
2016-10-19,ARROZ E FEIJÃO,LINGUIÇA FRANGO,REPOLHO REFOGADO,ALFACE COM VINAGRETE,MAÇÃ,MARACUJÁ,PÃO E CAFÉ,
2016-10-20,ARROZ E FEIJÃO,BIFE COM MOLHO INGLÊS,---,ABOBRINHA AO VINAGRETE,MELANCIA,TANGERINA,PÃO E CAFÉ,
2016-10-21,ARROZ E FEIJÃO,BIFE,MACARRÃO AO ALHO E ÓLEO,ACELGA/AGRIÃO/VINAGRE,IOGURTE,LIMÃO,PÃO E CAFÉ,
2016-10-24,ARROZ E FEIJÃO,FRANGO ASSADO,CHUCHU REFOGADO,PEPINO COM RABANETE,BANANA,LARANJA,PÃO E CAFÉ,
2016-10-25,ARROZ E FEIJÃO,ISCA DE FRANGO Á CHINESA,BRÓCOLIS COM COUVE FLOR REFOGADA,BETERRABA COZIDA,ARROZ DOCE,MANGA,PÃO E CAFÉ,
2016-10-26,ARROZ E FEIJÃO,BIFE ACEBOLADO,BERINJELA REFOGADA,ALFACE/SOJA,MAÇÃ,ABACAXI,PÃO E CAFÉ,
2016-10-27,ARROZ E FEIJÃO,ROLÊ BOVINO ACEBOLADO,POLENTA CREMOSA,ACELGA/CENOURA COM MAÇÃ/SOJA,DOCE DE LEITE,LARANJA,PÃO E CAFÉ,
2016-10-31,ARROZ E FEIJÃO,FRANGO ASSADO,----,SELVAGEM,LARANJA,TANGERINA,PÃO E CAFÉ,
2016-11-01,ARROZ E FEIJÃO,QUIBE FRITO,CREME DE MILHO,ACELGA COM CENOURA,MAÇÃ,UVA,PÃO E CAFÉ,
2016-11-03,ARROZ E FEIJÃO,PALETA SUÍNA COM BATATA DOCE,-----,COUVE,BANANA,SUCO DE LARANJA,PÃO E CAFÉ,
2016-11-04,ARROZ E FEIJÃO,FRANGO ASSADO,---,MULTICOR COM BETERRABA,DOCE DE LEITE,ABACAXI,PÃO E CAFÉ,
2016-11-07,ARROZ E FEIJÃO,BIFE AO MOLHO,--------,ESCAROLA COM TOMATE,MAÇÃ,MARACUJÁ,PÃO E CAFÉ,
2016-11-08,ARROZ E FEIJÃO,SALSICHA AO SUGO,MANDIOQUINHA REFOGADA,ALFACE COM AGRIÃO,LARANJA,TANGERINA,PÃO E CAFÉ,
2016-11-09,ARROZ E FEIJÃO,FRANGO ASSADO,POLENTA AO SUGO,ESCAROLA/VINAGRETE,MELANCIA,CAJÚ,PÃO E CAFÉ,
2016-11-10,ARROZ E FEIJÃO,ESCONDIDINHO DE CARNE SECA,---,"ALFACE,PEPINO,REPOLHO,ERVILHA",BARRINHA DE CEREAL,LIMÃO,PÃO E CAFÉ,
2016-11-11,ARROZ E FEIJÃO,ROLÊ BOVINO AO SUGO,BATATA COM MANDIOCA REFOGADOS,ACELGA COM VINAGRETE,MELANCIA,MANGA,PÃO E CAFÉ,
2016-11-16,ARROZ E FEIJÃO,STROGONOFF DE FRANGO,---,BATATA,MAÇÃ,MARACUJÁ,PÃO E CAFÉ,
2016-11-17,ARROZ E FEIJÃO,NUGGTES FRITO,ESCAROLA REFOGADA,ALFACE CRESPA,LARANJA,LARANJA,PÃO E CAFÉ,
2016-11-18,ARROZ E FEIJÃO,BIFE ACEBOLADO,-----,BETERRABA RALADA,MELANCIA,ABACAXI,PÃO E CAFÉ,
2016-11-21,ARROZ E FEIJÃO,FRANGO ASSADO,---,"BATATA, CENOURA,ERVILHA,MILLHO VERDE E VAGEM",BANANA,MANGA,PÃO E CAFÉ,
2016-11-22,ARROZ E FEIJÃO,QUIBE FRITO,ABOBRINHA REFOGADA,RÚCULA,MAÇÃ,ABACAXI,PÃO E CAFÉ,
2016-11-23,ARROZ E FEIJÃO,ISCA DE FRANGO COM LEGUMES,------,ALFACE LISA,BOLO DE BAUNILHA,SUCO DE CAJÚ,PÃO E CAFÉ,
2016-11-24,ARROZ E FEIJÃO,BIFE COM MILHO E AZEITONA,---,CHUCHU AO VINAGRETE,LARANJA,TANGERINA,PÃO E CAFÉ,
2016-11-25,ARROZ E FEIJÃO,OVO COZIDO COM MOLHO,LEGUMES REFOGADOS,ACELGA,MAÇÃ,MARACUJÁ,PÃO E CAFÉ,
2016-11-29,ARROZ E FEIJÃO,LINGUIÇA DE FRANGO,LEGUMES REFOGADOS,ALFACE COM BETERRABA RALADA,LARANJA,MANGA,PÃO E CAFÉ,
2016-11-30,ARROZ E FEIJÃO,BIFE COM MOLHO DE TOMATE,---,ESCAROLA/VINAGRETE,MAÇÃ,CAJÚ,PÃO E CAFÉ,
2016-12-01,ARROZ E FEIJÃO,ROLÊ BOVINO AO MOLHO DE TOMATE,FAROFA DE CENOURA,PEPINO COM VINAGRETE,MAÇÃ,MANGA,PÃO E CAFÉ,
2016-12-02,ARROZ E FEIJÃO,ALMONDEGAS AO SUGO,---,ALFACE LISA,LARANJA,UVA,PÃO E CAFÉ,
2016-12-05,ARROZ E FEIJÃO,BIFE A MILANESA,------,BATATA,MAÇÃ,LARANJA,PÃO E CAFÉ,
2016-12-06,ARROZ E FEIJÃO,STROGONOFF DE FRANGO,BATATA REFOGADA,TOMATE,MELANCIA,MARACUJÁ,PÃO E CAFÉ,
2016-12-07,ARROZ E FEIJÃO,LINGUIÇA FRITA,CHUCHU REFOGADO,ALFACE,BARRINHA DE CEREAL,MANGA,PÃO E CAFÉ,
2016-12-08,ARROZ E FEIJÃO,.,.,.,.,.,PÃO E CAFÉ,"HOJE, 08/12/2016, NÃO HAVERÁ JANTAR NO CAMPUS I. FAVOR DIRIGIR-SE AO CAMPUS II - FCA"
2016-12-09,ARROZ E FEIJÃO,OVO COZIDO,QUIBEBE,AGRIÃO,LARANJA,TANGERINA,PÃO E CAFÉ,
2016-12-12,ARROZ E FEIJÃO,.,.,.,.,.,PÃO E CAFÉ,"Devido a problemas técnicos, hoje (12/12/2016) não haverá jantar no restaurante do campus I. Favor dirigir-se ao campus II - FCA."
2016-12-13,ARROZ E FEIJÃO,FRANGO ASSADO,BATATA REFOGADA,CENOURA COM MAÇÃ,IOGURTE,UVA,PÃO E CAFÉ,
2016-12-14,ARROZ E FEIJÃO,ISCA DE FRANGO COM MANDIOCA,---,ABÓBORA COZIDA/TOMATE EM RODELAS,LARANJA,MANGA,PÃO E CAFÉ,
2016-12-15,ARROZ E FEIJÃO,CARNE EM CUBOS COM LEGUMES,---,ALFACE,LARANJA,UVA,PÃO E CAFÉ,
2016-12-16,ARROZ E FEIJÃO,LINGUIÇA COM VINAGRETE,ARROZ Á GREGA,ALFACE,MAÇÃ,TANGERINA,PÃO E CAFÉ,
2016-12-19,ARROZ E FEIJÃO,OMELETE DE FORNO,----,ALFACE COM BETERRABA RALADA,LARANJA,ABACAXI,PÃO E CAFÉ,
2016-12-20,ARROZ E FEIJÃO,SALSICHA AO SUGO,---,BETERRABA COZIDA COM MAIONESE,MAÇÃ,LARANJA,PÃO E CAFÉ,
2017-01-02,ARROZ E FEIJÃO,OVO COZIDO,MACARRÃO AO ALHO E ÓLEO,TOMATE,MAÇÃ,UVA,PÃO E CAFÉ,
2017-01-03,ARROZ E FEIJÃO,BIFE A MILANESA,ABÓBORA REFOGADA,AGRIÃO,IOGURTE,UVA,PÃO E CAFÉ,
2017-01-04,ARROZ E FEIJÃO,SALSICHA AO SUGO,ABOBRINHA REFOGADA,ALFACE/VINAGRETE,MELANCIA,CAJÚ,PÃO E CAFÉ,
2017-01-05,ARROZ E FEIJÃO,"CARNE EM CUBOS COM ABÓBORA,PALMITO E AZEITONA PRETA",--,ALFACE COM CENOURA RALADA,BANANA,MARACUJÁ,PÃO E CAFÉ,
2017-01-06,ARROZ E FEIJÃO,PEIXE FRITO,--,BETERRABA,LARANJA,ABACAXI,PÃO E CAFÉ,
2017-01-09,ARROZ E FEIJÃO,SALSICHA AO SUGO,VAGEM REFOGADA,ALFACE COM CENOURA RALADA,IOGURTE,MANGA,PÃO E CAFÉ,
2017-01-10,ARROZ E FEIJÃO,NUGGETS ASSADO,MACARRÃO AO SUGO,ACELGA COM VINAGRETE,DOCE DE LEITE,UVA,PÃO E CAFÉ,
2017-01-11,ARROZ E FEIJÃO,BIFE A MILANESA,CREME DE MILHO,PEPINO,LARANJA,CAJÚ,PÃO E CAFÉ,
2017-01-12,ARROZ E FEIJÃO,PALETA SUÍNA COM QUIABO,BATATA PALHA,ALFACE,IOGURTE,ABACAXI,PÃO E CAFÉ,
2017-01-13,ARROZ E FEIJÃO,FRANGO ASSADO,MACARRONADA,ESCAROLA,MAÇÃ,MANGA,PÃO E CAFÉ,
2017-01-17,ARROZ E FEIJÃO,FRANGO ASSADO,ABOBRINHA REFOGADA,ESCAROLA COM BETERRABA RALADA,MAÇÃ,ABACAXI,PÃO E CAFÉ,
2017-01-18,ARROZ E FEIJÃO,STROGONOFF DE CARNE,BATATA PALHA,AGRIÃO COM CENOURA RALADA,IOGURTE,MANGA,PÃO E CAFÉ,
2017-01-19,ARROZ E FEIJÃO,FRANGO FRITO,QUIABO REFOGADO,ACELGA,BANANA,LIMÃO,PÃO E CAFÉ,
2017-01-20,ARROZ E FEIJÃO,STROGONOFF DE FRANGO,BATATA PALHA,ALFACE,ABACAXI,TANGERINA,PÃO E CAFÉ,
2017-01-24,ARROZ E FEIJÃO,ISCA DE CARNE EMPANADA,CREME DE ERVILHA,ALFACE/CHUCHU COM VINAGRETE E MILHO,UVA,LIMÃO,PÃO E CAFÉ,
2017-01-25,ARROZ E FEIJÃO,FRANGO AO MOLHO,----,BATATA NA SALSA,LARANJA,TANGERINA,PÃO E CAFÉ,
2017-01-26,ARROZ E FEIJÃO,LINGUIÇA DE FRANGO AO VINAGRETE QUENTE,BATATA COM CENOURA REFOGADAS,ABOBRINHA RALADA,BOLINHO DE BAUNILHA,CAJÚ,PÃO E CAFÉ,
2017-01-30,ARROZ E FEIJÃO,CARNE PICADA COM LEGUMES,MACARRÃO AO ALHO E ÓLEO,ALFACE/CENOURA/REPOLHO,BANANA,LIMÃO,PÃO E CAFÉ,
2017-01-31,ARROZ E FEIJÃO,LINGUIÇA FRITA,COUVE REFOGADA,ESCAROLA/VINAGRETE,BANANA,TANGERINA,PÃO E CAFÉ,
2017-02-01,ARROZ E FEIJÃO,FRANGO FRITO,---,ALMEIRÃO COM RABANETE,ARROZ DOCE,LIMÃO,PÃO E CAFÉ,
2017-02-02,ARROZ E FEIJÃO,BIFE ACEBOLADO,----,CHUCHU COM CENOURA RALADA,MAÇÃ,TANGERINA,PÃO E CAFÉ,
2017-02-03,ARROZ E FEIJÃO,CARNE EM CUBOS COM MANDIOQUINHA E TOMATE MOLHO,----,COUVE FLOR COM BROCOLIS,MELANCIA,LIMÃO,PÃO E CAFÉ,
2017-02-06,ARROZ E FEIJÃO,SALSICHA AO SUGO,MACARRÃO AO ALHO E ÓLEO,ACELGA,BANANA,SUCO DE TANGERI,PÃO E CAFÉ,
2017-02-07,ARROZ E FEIJÃO,FRANGO ASSADO,CHUCHU REFOGADO,BETERRABA RALADA,LARANJA PERA,SUCO DE UVA,PÃO E CAFÉ,
2017-02-08,ARROZ E FEIJÃO,CARNE EM CUBOS COM MANDIOQUINHA,BERINJELA REFOGADA,REPOLHO,MAÇÃ,ABACAXI,PÃO E CAFÉ,
2017-02-09,ARROZ E FEIJÃO,ALMONDEGAS AO SUGO,ABOBRINHA COM CENOURA REFOGADA,ALFACE,BANANA,MANGA,PÃO E CAFÉ,
2017-02-13,ARROZ E FEIJÃO,CARNE ASSADA,FAROFA DE CARNE COM OVO,MULTICOR COM BETERRABA,LARANJA PERA,CAJU,PÃO E CAFÉ,
2017-02-14,ARROZ E FEIJÃO,CARNE PICADA COM PALMITO E ERVILHA,--------,TOMATE COM AZEITONA PRETA,CURAU,UVA,PÃO E CAFÉ,
2017-02-17,ARROZ E FEIJÃO,LINGUIÇA DE FRANGO AO VINAGRETE,FAROFA DE FRUTAS,ESCAROLA,MAÇÃ,MARACUJÁ,PÃO E CAFÉ,
2017-02-20,ARROZ E FEIJÃO,BIFE A PARMEGGIANA,-----,ALFACE LISA,BANANA NANICA,LIMÃO,PÃO E CAFÉ,
2017-02-22,ARROZ E FEIJÃO,CARNE PICADA COM QUIABO,--------,COUVE,CURAU,TANGERINA,PÃO E CAFÉ,
2017-02-23,ARROZ E FEIJÃO,ALMÔNDEGA AO SUGO,CHUCHU REFOGADO,ACELGA,LARANJA PERA,CAJU,PÃO E CAFÉ,
2017-02-24,ARROZ E FEIJÃO,ISCA DE CARNE COM PALMITO,--------,BETERRABA RALADA,GELATINA DE CEREJA,UVA,PÃO E CAFÉ,
2017-03-02,ARROZ E FEIJÃO,SALSICHA AO SUGO,ABOBRINHA REFOGADA,ACELGA,BANANA NANICA,CAJU,PÃO E CAFÉ,
2017-03-03,ARROZ E FEIJÃO,BIFE AO MOLHO DE ERVILHA,ESCAROLA REFOGADA,BETERRABA RALADA,BANANA NANICA,TANGERINA,PÃO E CAFÉ,
2017-03-06,ARROZ E FEIJÃO,BIFE AO MOLHO DE MOSTARDA,---,BERINJELA,LARANJA,LIMÃO,PÃO E CAFÉ,
2017-03-07,ARROZ E FEIJÃO,CARNE EM CUBOS COM MANDIOQUINHA,----,RUCULA /TOMATE/BETERRABA,MELANCIA,ABACAXI,PÃO E CAFÉ,
2017-03-08,ARROZ E FEIJÃO,LINGUIÇA DE FRANGO ACEBOLADA,QUIBEBE,ALFACE,MAÇÃ,UVA,PÃO E CAFÉ,
2017-03-09,ARROZ E FEIJÃO,CARNE EM CUBOS COM CENOURA,MACARRÃO ÁLHO E ÓLEO,ESCAROLA,BANANA NANICA,MARACUJÁ,PÃO E CAFÉ,
2017-03-10,ARROZ E FEIJÃO,STEAK FRITO,CREME DE ERVILHA,CENOURA COM MAÇÃ,CURAU,MANGA,PÃO E CAFÉ,
2017-03-13,ARROZ E FEIJÃO,CARNE EM CUBOS COM CENOURA E VAGEM,--------,ACELGA COM LARANJA,MAÇÃ,CAJÚ,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose
2017-03-14,ARROZ E FEIJÃO,CARNE ASSADA AO MOLHO INGLÊS,REPOLHO REFOGADO,ALMEIRÃO COM ESCAROLA E BETERRABA,MELANCIA,CAJU,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose
2017-03-15,ARROZ E FEIJÃO,SALSICHA AO SUGO,CHUCHU REFOGADO,ALMEIRÃO,BANANA NANICA,LIMÃO,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose.
2017-03-17,ARROZ E FEIJÃO,NUGGETS ASSADO,POLENTA CREMOSA,ALFACE COM MAÇÃ,LARANJA PERA,UVA,PÃO E CAFÉ,Contém glúten no pão e no nuggets. Não contém lactose.
2017-03-20,ARROZ E FEIJÃO,ISCA DE CARNE COM CENOURA,--------,TOMATE,LARANJA PERA,MARACUJÁ,PÃO E CAFÉ,Contém glúten no pão. Não contém ovos e lactose.
2017-03-21,ARROZ E FEIJÃO,ALMÔNDEGA AO SUGO,BATATA REFOGADA,ESCAROLA,DOCE DE LEITE,MANGA,PÃO E CAFÉ,Contém glúten no pão. Contém lactose no doce de leite. Não contém ovos.
2017-03-22,ARROZ E FEIJÃO,FRANGO FRITO,POLENTA CREMOSA,"AMERICANA (pimentão verde, repolho e tomate)",BANANA NANICA,LIMÃO,PÃO E CAFÉ,Contém glúten no pão. Não contém ovos e lactose.
2017-03-23,ARROZ E FEIJÃO,"BIFE COM PIMENTÃO, CEBOLA E TOMATE",--------,"JARDINEIRA DE LEGUMES (batata, cenoura e vagem)",BARRA DE CEREAL,ABACAXÍ,PÃO E CAFÉ,Contém glúten no pão e na barra de cereal. Contém lactose na barra de cereal. Não contém ovos.
2017-03-24,ARROZ E FEIJÃO,BIFE À MILANESA,CENOURA REFOGADA,ALMEIRÃO COM RABANETE RALADO,MAÇÃ,TANGERINA,PÃO E CAFÉ,Contém glúten no pão e no bife à milanesa. Contém lactose no bife à milanesa. Contém ovos no bife à milanesa.
2017-03-27,ARROZ E FEIJÃO,ISCA DE CARNE COM ABÓBORA SECA,----,"ALFACE, REPOLHO E CENOURA RALADA",BOLO DE BAUNILHA COM RECHEIO DE CHOCOLATE,LIMÃO,PÃO E CAFÉ,
2017-03-28,ARROZ E FEIJÃO,CARNE ASSADA AO MOLHO SHOYO,ABÓBORA REFOGADA,ABOBRINHA RALADA,BANANA NANICA,UVA,PÃO E CAFÉ,Obs
2017-03-29,ARROZ E FEIJÃO,CARNE EM CUBOS COM MANDIOQUINHA,--------,ALFACE COM RÚCULA,MAÇÃ,MARACUJÁ,PÃO E CAFÉ,Contém glúten no pão. Não contém ovos e lactose.
2017-03-31,ARROZ E FEIJÃO,"CARNE EM CUBOS COM PALMITO, ERVILHA, TOMATE E MILHO VERDE",--------,ALFACE,MAÇÃ,CAJÚ,PÃO E CAFÉ,O cardápio contém glúten no pão. Não contém lactose e ovos.
2017-04-03,ARROZ E FEIJÃO,BIFE AO MOLHO INGLÊS,--------,RÚCULA COM ALFACE / BATATA,BARRA DE CEREAL,UVA,PÃO E CAFÉ,Contém glúten no pão e na barra de cereal. Contém lactose na barra de cereal. Não contém ovos.
2017-04-04,ARROZ E FEIJÃO,LINGUIÇA DE FRANGO FRITA,MACARRÃO AO ALHO E ÓLEO,ESCAROLA,GELATINA DE MORANGO,CAJU,PÃO E CAFÉ,Contém glúten no pão e no macarrão. Contém ovos no macarrão. Não contém lactose.
2017-04-05,ARROZ E FEIJÃO,CARNE ASSADA AO VINAGRETE QUENTE,REPOLHO REFOGADO,ALFACE,MAÇÃ,LARANJA PERA,PÃO E CAFÉ,Contém glúten no pão e no steak. Não contém ovos e lactose.
2017-04-06,ARROZ E FEIJÃO,BISTECA SUÍNA AO MOLHO SHOYO,--------,CENOURA VINAGRETE/ ATUM COM CENOURA,BANANA NANICA,MANGA,PÃO E CAFÉ,Contém glúten no pão. Não contém ovos e lactose.
2017-04-07,ARROZ E FEIJÃO,ROLÊ DE FRANGO AO MOLHO DE TOMATE,COUVE REFOGADA,BETERRABA COZIDA,BANANA NANICA,ABACAXÍ,PÃO E CAFÉ,Contém glútem no pão. Não contém ovos e lactose.
2017-04-10,ARROZ E FEIJÃO,COZIDO MISTO DE PALETA E ACÉM COM CENOURA,------,ALFACE,MAÇÃ,MARACUJÁ,PÃO E CAFÉ,Contém glúten no pão. Não contém ovos e lactose.
2017-04-11,ARROZ E FEIJÃO,CARNE ASSADA,BATATA REFOGADA,ALFACE COM AGRIÃO,MAÇÃ,TANGERINA,PÃO E CAFÉ,Contém glúten no pão. Não contém ovos e lactose.
2017-04-12,ARROZ E FEIJÃO,"ISCA DE CARNE AO MOLHO DE PIMENTÃO VERMELHO, CEBOLA E TOMATE",ESCAROLA REFOGADA,BERINJELA,MAÇÃ,TANGERINA,PÃO E CAFÉ,Contém glúten no pão. Não contém ovos e lactose.
2017-04-19,ARROZ E FEIJÃO,BIFE ACEBOLADO,------,TOMATE,COCADA,LARANJA,PÃO E CAFÉ,
2017-04-20,ARROZ E FEIJÃO,"FRANGO AO MOLHO DE TOMATE , AZEITONA VERDE E PALMITO",FAROFA COM MILHO/AZEITONA PRETA/CARNE DESFIADA/OVOS E ERVILHA,ALFACE,MAÇÃ,MANGA,PÃO E CAFÉ,Contém glúten no pão. Contém ovos na farofa. Não contém lactose.
2017-04-26,ARROZ E FEIJÃO,"BIFE Á PORTUGUESA( BATATA, PIMENTÃO VERDE, CEBOLA.TOMATE E MOLHO INGLÊS",-----,"MULTICOR(ALMEIRÃO, CENOURA RALADA E MILHO",TANGERINA PONKAN,TANGERINA,PÃO E CAFÉ,
2017-05-04,ARROZ E FEIJÃO,"BIFE COM AZEITONA VERDE, ERVILHA, PALMITO E TOMATE",------,SOJA COM VINAGRETE,MAÇÃ,CAJÚ,PÃO E CAFÉ,Contém glúten no pão. Não contém ovos e lactose.
2017-05-09,ARROZ E FEIJÃO,CARNE ASSADA AO MOLHO INGLÊS,MACARRÃO AO SUGO,ACELGA,LARANJA PERA,DE LARANJA,PÃO E CAFÉ,Contém glúten no pão e no macarrão ao sugo. Contém ovos no macarrão ao sugo. Não contém lactose.
2017-05-15,ARROZ E FEIJÃO,OVO COZIDO,LEGUMES REFOGADO,ALFACE,MAÇÃ,TANGERINA,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose. Contém ovos.
2017-05-18,ARROZ E FEIJÃO,STROGONOFF DE CARNE,BATATA CHIPS,ALMEIRÃO COM RÚCULA,MAÇÃ,LARANJA,PÃO E CAFÉ,Contém glúten no pão e no strogonoff de carne. Contém lactose no strogonoff de carne. Não contém ovos.
2017-05-19,ARROZ E FEIJÃO,CARNE PICADA COM ABÓBORA,------,BETERRABA RALADA,GELATINA DE MORANGO,LIMÃO,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose e ovos.
2017-05-22,ARROZ E FEIJÃO,STEAK FRITO,CREME DE MILHO,"MISTA (ALFACE, CENOURA E ERVILHA)",MAÇÃ,LARANJA,PÃO E CAFÉ,Contém glúten no pão e no steak frito. Contém lactose no creme de milho. Não contém ovos.
2017-05-23,ARROZ E FEIJÃO,SALSICHA AO SUGO,ESCAROLA REFOGADA,BETERRABA RALADA,MELANCIA,MANGA,PÃO E CAFÉ,Contém glúten no pão. Não contém ovos e lactose.
2017-05-25,ARROZ E FEIJÃO,CARNE ASSADA AO MOLHO SHOYO,"FAROFA COM OVOS, AZEITONA VERDE E CARNE DESFIADA",ESCAROLA,TANGERINA PONKAN,LARANJA,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose. Contém ovos na farofa.
2017-05-29,ARROZ E FEIJÃO,COXA E SOBRECOXA ASSADA,CENOURA AO MOLHO BRANCO,ALFACE COM AGRIÃO,BANANA NANICA,TANGERINA,PÃO E CAFÉ,Contém glúten no pão. Contém lactose na cenoura ao molho branco. Não contém ovos.
2017-05-30,ARROZ E FEIJÃO,Bife com batata e tomate,--------,Alface,Maçã,Maracujá,PÃO E CAFÉ,Contém glúten no pão. Não contém ovos e lactose.
2017-05-31,ARROZ E FEIJÃO,CARNE ASSADA AO MOLHO INGLÊS,FAROFA,ALFACE,LARANJA PERA,UVA,PÃO E CAFÉ,Contém glúten no pão. Não contém ovos e lactose.
2017-06-01,ARROZ E FEIJÃO,"Carne em cubos com tomate, cebola, ervilha e azeitona preta",------,Almeirão,Maçã,caju,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose e ovos.
2017-06-02,ARROZ E FEIJÃO,Strogonoff de carne,Batata refogada,Agrião com cenoura,Melancia,Tangerina,PÃO E CAFÉ,Contém glúten no pão e no strogonoff de carne. Contém lactose no strogonoff de carne. Não contém ovos.
2017-06-06,ARROZ E FEIJÃO,Carne picada com batata,------,"Coronel (alface, pepino e beterraba ralada)",Spumone de morango (gelatina com creme de leite),Laranja,PÃO E CAFÉ,Contém glúten no pão. Contém lactose no spumone. Não contém ovos.
2017-06-07,ARROZ E FEIJÃO,Isca de frango ao molho rosê,Quibebe (abóbora refogada),Rúcula,Laranja,Maracujá,PÃO E CAFÉ,Contém glúten no pão e na isca de frango ao molho rosê. Contém lactose na isca de frango ao molho rosê. Não contém ovos.
2017-06-08,ARROZ E FEIJÃO,Bife com mandioca,------,Multicor,Banana,uva,PÃO E CAFÉ,Contém glúten no pão. Não contém ovos e lactose.
2017-06-09,ARROZ E FEIJÃO,Paleta suína com abóbora seca,-,Escarola,Maçã,Abacaxí,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose e ovos.
2017-06-12,ARROZ E FEIJÃO,"Isca de carne à chinesa (azeitona, palmito e tomate)",Macarrão ao alho e óleo,Chuchu,Laranja pera,Manga,PÃO E CAFÉ,Contém glúten no pão. Não contém ovos e lactose.
2017-06-13,ARROZ E FEIJÃO,Carne asssada com abacaxí,Chuchu refogado,Rúcula,Gelatina de limão,Uva,PÃO E CAFÉ,Contém glúten no pão. Não contém ovos e lactose.
2017-06-14,ARROZ E FEIJÃO,Patinho em cubos com chuchu e vagem,Acelga refogada,Mista verde,Tangerina ponkan,Cajú,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose e ovos.
